,Vehicle_model,Vehicle_Year,Vehicle_Rating,Review_Date,Author_Name,Vehicle_Name,Helpful_weight,Review_Title,Customer_Rating,Review
10,C30,2011,4.8, 08/12/2016,Brandon Brown,T5 2dr Hatchback (2.5L 5cyl Turbo 6M),3 of 3 people found this review helpful,So far so great!,5,Just bought my C30 a month ago. So far it has been a dream. The ride is smooth. The car has great power and torque. I love the simplicity and thoughtfulness of the details. Defiantly a great car for a minimalist who wants form to follow function. 
11,C30,2011,4.8, 08/08/2010,Chris,T5 2dr Hatchback (2.5L 5cyl Turbo 6M),2 of 2 people found this review helpful,Under-appreciated car,4.63,"A great car for a daily driver. Lots of features even on the base model. What you give up at the high extremes of performance you more than make up for with daily usability. Much more comfortable in normal conditions than any of the other 'hot hatches' (GTI, etc).  "
12,C30,2011,4.8, 11/07/2010,KW,T5 2dr Hatchback (2.5L 5cyl Turbo 6M),2 of 2 people found this review helpful,Great Car,5,"I have had my C30 for two months now and still have fun driving this car. It's fast, comfortable and handles great. Just got back from a 5 hour trip to Boston and the comfort of the seats held up the entire trip and I averaged 29 miles per gallon. The exterior continues to attract attention and turn heads.  "
13,C30,2011,4.8, 09/25/2011,modcookieparty,R-Design 2dr Hatchback (2.5L 5cyl Turbo 6M),2 of 2 people found this review helpful,Brilliant Automobile,4.88,"This car is absolutely fantastic.
I've had the R-Design for about 6 months now and love driving it.
The handling is very tight and the acceleration is good for its class.
The body styling sets you apart from the crowd and the interior styling is comfortable and very functional.
The ability to customize features and options hits the mark.

The only drawback is that the exterior r-design styling features seem a bit flimsy - we'll see how they hold up over time.

I couldn't be happier with this car - at least until the polestar version is available. "
14,C30,2011,4.8, 11/08/2010,jbreach,T5 2dr Hatchback (2.5L 5cyl Turbo 6M),8 of 16 people found this review helpful,What About the Breaks?,4.38,Great looks and peppy engine but what about the breaks.  Brought it back to dealership twice wondering why oh why doesn't this car have a firm break pedal. Why must I travel halfway down before breaks engage and when they do why does it feel so choppy?  Is this a Volvo trademark because if it is I sure don't want or need it.  This one very important aspect has left me lukewarm on this car and wondering if I made a $25k mistake which I will now regret until I trade it in. 
15,C30,2011,4.8, 02/05/2010,Florida Driver,T5 2dr Hatchback (2.5L 5cyl Turbo 6M),1 of 1 people found this review helpful,Fun to Drive,5,This car made this 40+ old man feel like a teenager. It has all the fun of a 'kids-car' without being a 'kids car'.  
16,C30,2011,4.8, 05/07/2010,PKL,R-Design 2dr Hatchback (2.5L 5cyl Turbo 6M),1 of 1 people found this review helpful,Under Rated Volvo C30,4.5,"We really love the new 2011 C30 R Design we purchased two month ago, so much so we ordered a second one. It handles even better than advertised, very tigthly built and EXTREMELY fun to drive. Due it's unique design and Volvo doing a poor job of advertising the C30, it's seldom seen on the road, which makes folks stop and look. It's not just another Japanese hatchback/econo box. Most important to us was it's best in class safety rating. We did our homework before we bought the C30 and it exceeded our expectations in all areas "
17,C30,2011,4.8, 06/09/2010,cafepost,T5 2dr Hatchback (2.5L 5cyl Turbo 6M),1 of 1 people found this review helpful,C30 T5 6M,4.88,I love love love this car.  I do not understand why there are not more of these on the road.  I've only seen three. It's fast and so much fun to drive. Cute.  Stylish.  Comfortable.  Affordable. I've done Japanese. I've done American.  I wanted to do European this time and I did good by choosing this one.   
18,C30,2011,4.8, 03/15/2011,kandrew68,R-Design 2dr Hatchback (2.5L 5cyl Turbo 6M),1 of 10 people found this review helpful,Mistake ?,2.75,"WIND NOISE - drive it and pay carefull attention and make your own informed decision.
The C30 has major wind noise issues. This gas milage is aslo poor - 21 in combined city/highway driving.

After 3 months and 1300 miles, had to take the car into the dealer - hissing noise under hood. Leaking either coolant or refrigerant. Only good thing so far is it comes with 5 year 60-month bumper-to-bumper warranty and it looks COOL. If only my wife had chosen a another car or I had waited for the LEXUS CT-200! So buyer beware. "
19,C30,2011,4.8, 03/11/2010,BarentsBlu MA,T5 2dr Hatchback (2.5L 5cyl Turbo 6M),0 of 0 people found this review helpful,Drive to Believe,5,"I use to be a SAAP 95 owner. After 10 great yrs, I was looking for another reliable and stylish car. I did consider the Acura TSX, Mini and Audi GTI. I am so glad I got the Volvo C30 instead. As a previous SAAB owner, I really like the drive of the C30 and the thoughtful European design. And, it costs less than 30K!   "
20,C30,2011,4.8, 05/31/2010,Volvo Driver,R-Design 2dr Hatchback (2.5L 5cyl Turbo 6M),0 of 0 people found this review helpful,2011 C30 R-Design,4.88,We traded in our 2005 Volvo S40 T5 AWD for this new C30. The C30 is even more fun to drive than the S40 was. I was concerned about ride stiffness from the R-Design with the lower profile tires but while the ride is firmer it is not uncomfortable at all on the roads we drive daily. Our choice of styling was confirmed when a new VW GTI that still had the paper tags on it had the driver and two passengers admiring the C30 when we were running side by side on the expressway.  
21,C30,2011,4.8, 09/22/2019,Ceemoi62 ,R-Design 2dr Hatchback (2.5L 5cyl Turbo 6M),0 of 0 people found this review helpful,Volvo C30,4,"Model has been discontinued. Nice car, especially the R Design.  A safe, fast urban mover. "
22,C30,2011,4.8, 12/06/2019,Cosmo,T5 2dr Hatchback (2.5L 5cyl Turbo 6M),0 of 0 people found this review helpful,Great Two Door with style hardening back to 60’s,5,"We owned a c30 for 8 years and it was a great car.  It has a nice heavy feel, but has quick response when driving.  The back hatch makes for convenient loading and with the seats down, it hold a ton of stuff.  We had no major problems, just the normal stuff.  We sold it because we wanted a car with better gas mileage that didn’t require premium gas.  Only drawback, but 8 years with a car is pretty good. "
23,C30,2012,5.0, 04/24/2012,1ptbijou,T5 2dr Hatchback (2.5L 5cyl Turbo 6M),12 of 12 people found this review helpful,Perfect driving dinamic,4.88,"This is my first Volvo,
I was looking for a driver's car and this is it.
The driving confort and position is superb.
The power is very good at low RPM, the 2.5 L. turbo has a lots of tork at only 1500 RPM. and no turbo lag.
If you are looking for a reliable European car, this is it, the ride is very confortable for our bad roads.
I selected the 16' wheels for that reason.
I just drove from Vermont to Nova Scotia in 12 hours non stop with zero back problems.
I dont understand why this car is not selling more as mine was the price of a Civic SI and Volvo is having huge promotions with 5years waranty and free maintenance 0% finance and $5000. off. "
24,C30,2012,5.0, 09/27/2018,DANOH,T5 2dr Hatchback (2.5L 5cyl Turbo 6M),7 of 7 people found this review helpful,Runs like a scalded dog,5,"Good acceleration, traction, handling and controls.  Lightest Volvo sold in U.S. but still has sturdy 5 cyl engine.  They sold few of these models in U.S. because hatchbacks don't appeal here.  The styling is very attractive and retro.  You will rarely see another one on the road.  Car people notice this rare model and will compliment you about it.  Sweet exhaust note on start up.  2013 is last year sold in U.S. but still being sold in Europe.  Hurry, hurry buy one while you still can.  It is compact with limited rear space but the front space is good.  I am 6'2 and super comfy in front seat.  Built safe, heavy body for small car, look at the doors and body.  They were super expensive when new $35K and depreciated rapidly, typical Volvo.  However I think the limited supply means the values stabilize well starting at the 3 year mark.  10 year old examples sell for big prices.  A lot of used examples have 180K miles still running. "
25,C30,2012,5.0, 08/13/2018,Woody,T5 2dr Hatchback (2.5L 5cyl Turbo 6M),6 of 6 people found this review helpful,Loving my new/old C30,5,"It may not be the most practical car in the world,but i love it for what it is. This car has a great ride, very solid and reassuring to drive on twisty mountain passes and interstate highways alike. The engine has power and torque way beyond my requirements, and i love the 6-speed manual transmission. The seats are very comfortable,and the interior noise is minimal. Loved the exterior design when it came out,and it still looks fresh today.
Update: after a year, I am still enjoying the car very much, especially for longer trips. This car is a great highway cruiser. "
26,C30,2012,5.0, 08/29/2018,Woody Cross,T5 2dr Hatchback (2.5L 5cyl Turbo 6M),5 of 5 people found this review helpful,Loving this car!,5,"Very comfortable road cruiser,great seats,ergonomics. Lots of power,and good handling,the 6-speed manual is lots of fun. I got the Premium Plus,so there are lots of adjustments available with the seats,steering wheel. The style of the car is still very fresh and contemporary,inside and out. "
27,C30,2012,5.0, 04/30/2016,Annika,T5 2dr Hatchback (2.5L 5cyl Turbo 6M),2 of 3 people found this review helpful,Rare Volvo,5,Quickly appreciating. Same styling DNA as current lineup. 
28,C30,2013,4.8, 09/12/2014,coloradocarnut,T5 2dr Hatchback (2.5L 5cyl Turbo 6M),28 of 29 people found this review helpful,"C30: rare, beautiful, comfortable",5,"This is really a lovely car.  We purchased the last '13 new in July'14.  Auto trans, T-5.  Did TONS of research beforehand.  We are a Toyota/Honda family, so European is a departure, with trepidation.  We have the Premier Plus package, not R-Design.   Thus far, the car is beyond expectations; a joy to drive, beautiful to look at, and well made.  It's QUIET inside, very powerful, and so different. You won't see them often, which is nice too.  It's not a high performance hatch, and that's good, because we didn't want that.  For those w/o kids, and a different hauling vehicle, this is a great commuter that spoils with luxury, is safe, and gives you confidence.  
2017 update; a couple of warranted replacement items with the car; though it continues to be great, and has cool accessories you can get from Volvo. We had some repairs from hitting a curb and major hail damage. After a few trials the rattles and squeaks were eliminated. But it took a few times. Hopefully once warranty expires we won't eat crow. Only complaint is the doors don't have good detents so they fall back into your legs pretty easily. That's it. Dealer support has been beyond expectations. It's sleeper fast. "
29,C30,2013,4.8, 12/01/2017,Kendra L,T5 2dr Hatchback (2.5L 5cyl Turbo 6M),6 of 6 people found this review helpful,LOVE this car!!,5,"I flew across the country to buy a certified preowned 2013 last year. It has the 6-speed manual (deal breaker for me without). I drove all the way from Little Rock, AR to Durango, CO in one day. I have never spent a 17 hour day in a car and not had a backache until I did so in this vehicle. The car is an absolute pleasure to drive! Takes off like a rocket ship, but I still manage 35-40 mpg. (I live in a rural area, mostly hwy driving.) I have already put 20k miles on it without any problems, but I am only at 38k total. I have also been very impressed with any Volvo service experience I have had thus far. I have a friend that is absolutely in love with her GTI, but I find my C30 to handle much better and be much more comfortable, albeit a bit smaller. I love that it is a very unique car; you just don't see too many of them on the road. It's very sharp looking car, IMO! "
30,C30,2013,4.8, 04/16/2018,Joey o,T5 R-Design 2dr Hatchback (2.5L 5cyl Turbo 6M),4 of 4 people found this review helpful,I won’t get rid of it,5,"I love this car. I have looked for one for years the way I wanted it optioned. I got a great deal on my r-design with the six speed manual polestar upgrade. It had everything I wanted and no navigation :) I have had it for a year and it’s my first Volvo. I’m sold we bought an r-design XC90 6 months after this one. The build quality is great. Very solid and substantial is the best way to describe it.       I just rolled over 93k and no issues. I have a squeak in the back when it’s cold but that’s been it. The seats are comfy and the bi zenon head lights are the best I’ve ever had in any car hands down. I wish I had reverse parking sensors though. It really moves when you put your foot down. I find it an excellent compromise for warning speed, handling and comfort.  I do a lot of maintenance myself and it’s a little bit more for fluids and air filters but a few bucks is well worth it. I get the compliments others talk about on here. Sometimes even stopped at a light now and again. This is one car I will not get rid of. It’ll be here in the garage for as long as I can see. It’s truly functional and so unique. I’d buy it all over again any day of the week. It’s made a Volvo family out of us. "
31,C30,2013,4.8, 07/13/2019,Daniel Case,T5 2dr Hatchback (2.5L 5cyl Turbo 6M),3 of 3 people found this review helpful,Love this sporty Swede.,5,"This is one of the best cars I've ever owned and my second Volvo.  This car is stylish, sporty, fun to drive and gets good gas mileage, too.  (30 mpg highway) I may just keep this car forever! "
32,C30,2013,4.8, 05/13/2013,djd123,T5 R-Design 2dr Hatchback (2.5L 5cyl Turbo 6M),40 of 103 people found this review helpful,Style and Substance,4.25,"Have owned for 3 weeks now, and the smiles keep coming.
This car is very well put together, looks great, handles well, and has plenty of power on tap when you need it.
It is very comfortable as a daily commuter, even with the stiffer R-Design suspension.
As other reviews across the web have stated, the steering is a bit numb and the manual shift action a bit rubbery compared to other sport coupes/""hot hatches"", but it makes up for it with how well the overall package fits together.
This is a car that somehow seems greater than the sum of it's parts.
Hard to explain. "
33,C70,2011,4.2, 02/18/2011,billnjax,T5 2dr Convertible (2.5L 5cyl Turbo 5A),20 of 21 people found this review helpful,Excellent Value,5,"We purchased this car about 5 months ago, and in 6,000 miles have never regretted our decision.
 The car is very comfortable, has all the acceleration that we require, and gets excellent gas mileage, actually better than our Turbo Beetle Convertible.
 We looked at
several different convertibles in this class and the C70 was by far the best car for the money.
Add in the safe and secure warranty coverage and I don't see how you could do better.
Take a test drive and you will be hooked. "
34,C70,2011,4.2, 01/03/2016,barbara,T5 2dr Convertible (2.5L 5cyl Turbo 5A),11 of 11 people found this review helpful,"c70,tired of dealing with problems",3,"had to make 4 trips to dealership for a sensor in the front wheels that made the electronics go crazy.  interior door handles , the finish flaked off.  speaker issues with buzzing, and they claimed their was no problem after 4 visits to dealership .   it handled well, fun to drive, but tired of stupid stuff! "
35,C70,2011,4.2, 10/04/2016,Russ Ketchum,T5 2dr Convertible (2.5L 5cyl Turbo 5A),15 of 16 people found this review helpful,love to drive - but sick and tired of the repairs,3,"I am the original owner, bought in 2011 and love the look and feel of the car. drove it without issue for the first 30K miles. I maintained as instructed - however, the first issue appeared shortly after 30k,  ac blew hot air on one side - dealer said they fixed, under warranty - no problem. same problem again just a few thousand miles later - dealer fixed again, no problem. then - 10K later, same issue - dealer fixed again, with the assurance ""they fixed for good this time"". starting to get annoyed.  during that time, tires only got 30k - had to be replaced, dealer said thats normal for this vehicle. also had a check engine lite issue, which the dealer fixed, along with a few other annoying issues. took it in for the ""final"" warranty repair/maint at 60K.  It looks ""great"" they tell me....   bring it back in at 67K,  out of warranty....   repair bill 4K - I asked, all this happened in the last 7k miles?   yep they say, nothing covered, shocks, struts, motor mounts etc....   Oh - and by the way, the AC blows hot again! - 1400 to repair,  I threw a fit - wrote a letter to volvo, they sent me back a check for 1200....   since then, replaced another motor mount,  transmission mount, some oil sensor and housing that was leaking, cv boots and joints, front axles   all in all, 7400$ ALL SINCE THAT 60 K CHECKUP (I now have 90k miles on it)  replaced the headlamps twice, and now the driver side doesn't work at all - even after replacing the bulbs....    too bad, I love the look of the car, but no more volvos for me....   UPDATE  - since the last review at 90K I have dumped another 4K into the car - just not worth buying another volvo...   since 60K miles and total ownership cost well over 12K when you include regular maintenance.... "
36,C70,2011,4.2, 10/20/2010,nodregob,T5 2dr Convertible (2.5L 5cyl Turbo 5A),9 of 11 people found this review helpful,My first volvo,4.88,"This is my first Volvo..It won't be my last!  It is fast, comfortabe.well designed inside and out and fun to drive.  I am very satisfied with the mileage,getting 29mpg city and open road. Fit and finish is great and to date not a single concern. "
37,C70,2011,4.2, 02/15/2011,thirdwiley,T5 2dr Convertible (2.5L 5cyl Turbo 5A),8 of 10 people found this review helpful,YIP E,4.88,"After one month, this is my favorite Volvo in initial quality and design.
I have owned a 850 GLT and currently own an S80.
The C70 is quieter at interstate speeds than my S80 and my wife and I feel like we are in a snug, safe, comfortable cocoon when driving.
It's just plain fun to drive and we also like the head-turning effect. "
38,C70,2011,4.2, 06/02/2019,Mr Davis,T5 2dr Convertible (2.5L 5cyl Turbo 5A),3 of 4 people found this review helpful,Headliner dropped,4,"I just got my 2011 c70 t5 I also have an 2006. I'm a convertible fan,I'm hoping the 2011 keeps well as far as staying dependable. I noticed most reviews people went to the dealership. I've always taken my 06 to a master MECHANIC that specializes in foreign cars like Volvo,BMW,and Mercedes. He has kept the car on the road and for nowhere near the price of the dealership's. The 11 top headliner has fallen and it's my fault the previous owner had it garage kept,but it's now in this Ga heat with the windows up so that an easy fix thanks to YouTube. I'm not ready to throw in the towel on Volvo just yet. "
39,C70,2011,4.2, 09/19/2017,jimbo1951@sbcglobal.net,T5 2dr Convertible (2.5L 5cyl Turbo 5A),3 of 5 people found this review helpful,Problems with 2011 c70 t5,2,"Dealership personnel are Not knowledgeable about their vehicles. I have found more info online than they will ever know or admit to. No-one has ever said the RDAR makes the computer search for a signal day and night so if you don't start your car often the battery will discharge. RDAR is a service you can Buy form Volvo if you Buy it problem solved. Enjoy the monthly payment on that!  There was or is a lawsuit about this, see google. No-one at a dealership will admit or they are so ignorant about their vehicles you can't get a straight answer.  If your windows stop going up and down automatically  you must reset them, well good luck trying to reset them your self. It is Not in the owners manual. Even the techs on the forum will not give you a straight answer. I would not recommend a Volvo to anyone. The older ones in the 70's were good 2000 and up you are asking for problems. "
40,C70,2011,4.2, 10/11/2010,B,T5 2dr Convertible (2.5L 5cyl Turbo 5A),2 of 3 people found this review helpful,Catch the Sun,4.88,"This is a great car!  It rides like a coupe but has the fun of a convertible.  From the aggressive nose to the LED taillights it is a nice looking and well engineered ride.  The celestial blue gives it an air of dignity but the 18 inch rims give it that sport look.  The gas mileage is so-so 19 in the city but you don't buy it for that...it has all the Volvo safety features and the 5 year (covers everything) warranty is ""just in case.""  Had to wait for this special order...2 months...but the spring timing was perfect.  The dealership, Fairfax Volvo, made certain that the car was perfect.  Very pleased...enjoying the sun!!! "
41,C70,2011,4.2, 10/17/2016,Mary j anthony,T5 2dr Convertible (2.5L 5cyl Turbo 5A),2 of 3 people found this review helpful,Hate my 2011 volvo c70,2,"Purchased November 2011, new...Mustang performance is better.  Mustang reliability is much better.  And we are a long time Volvo family !     What a shock to get this one and it is the last one for us.     I bought this car for my children and grandchildren to be safe, but it is difficult to know whether it is safe because I cannot keep it running.... It seems that if the car is not driven daily, the battery runs down.  The dealer insists that nothing is wrong with the battery.    The tires wore out early , apparently because of an alignment problem that caused front and rear tires to wear on the inside.  Although the car was taken in for regular maintenance, this was not discovered until the tires were non-viable.    Little parts were regularly found lying in the car ( they matched the car interior) and appear to be covers for something, but the dealer has no idea what.  The piece in front of the passenger feet keeps falling down and must be repositioned.  It has been replaced by the dealer without improvement.     There Is a side hatch on  the driver's side that will not stay closed. It has been replaced without benefit.  There are more gnawing problems.  I just had to get a coil replaced. we were out of town for 2 weeks and my dayghter had to get people with much older vehicles to provide transportation because no one could keep the car cranked due to presumably the battery ( hard to know .  The car will not crank.  But cannot open car without emergency key and lights do not come on).    I am attempting to charge the battery with heavy duty charger, unsuccessfully.  I can get the lights to come on sometimes.  When I complained again at the dealer while waiting to get the battery checked last time, the salesman tried to sell me another car!!! This one is not paid for....it cost $10,000 more than a mustang, but would be safe and dependable for the family.
In April of 2017, I was able to trade the Volvo in for a Kia.
As we were about to trade, the head liner fell down.  On an internet search, we found that others have had this same problem.
You may also want to make sure that the trunk latch is working.
You will need to test doors and trunk while keys are out of range, as they automatically unlock doors and trunk as you approach.
The 66,617 mileage is the mileage just prior to trade in at 5.5 years. This is very low mileage for us. "
42,C70,2011,4.2, 01/07/2019,robert defino,T5 2dr Convertible (2.5L 5cyl Turbo 5A),2 of 3 people found this review helpful,"Unbelievable issue with 2011 c70 with 6,000 origin",1,"I bought the C70 new in 2011. It has always been garage kept.I have another vehicle I use during the winter and any kind of bad weather.I recently had my annual inspection done at my Volvo dealer,Stillman of West Chester PA. Usually the only service that's usually done at the inspection is an oil change because of the low mileage. This time I was told I had rust under the car that make my ASC/Anti-skid system in-operable keeping in mind the car has 6,081 original miles. The cost to fix this issue is over $ 700.00. How in God's name is it possible a garage kept car with 6,0811 miles can possible develop a rust issue. I wrote to Volvo and their response was simply ""your car is no longer under warranty. So much for Volvo customer care after the sale. "
43,C70,2011,4.2, 03/07/2010,T,T5 2dr Convertible (2.5L 5cyl Turbo 5A),1 of 1 people found this review helpful,Great Car,5,"I have had my new 2011 C70 for one week and so far so good.  They changed the three major objections I had to the 2010 - boring front lights, blah rear lights and cheapy plasticy interior.  I was ready to buy in Q4 2010 but waited until late February when the new 2011s arrived - definitely worth the wait for the improved vehicle.  The $1000 loyalty program was an added bonus. "
44,C70,2011,4.2, 03/26/2010,Jimmy the Greek,T5 2dr Convertible (2.5L 5cyl Turbo 5A),1 of 1 people found this review helpful,After First 3 weeks - Awesome,5,"Beautiful exterior, proven hard-top convertible mechanism. Interior quality is very good. A true 4-seater. Plenty of pep with the 5 Cyl Turbo, although sportscar buffs may not be satisfied.  Three weeks old and getting 26 mpg on 85% freeway commute.  Wife will be primary driver and she loves it!!  I found this upscale convertible to be the best bang for my bucks. "
45,C70,2011,4.2, 06/27/2010,Doug,T5 2dr Convertible (2.5L 5cyl Turbo 5A),1 of 1 people found this review helpful,Love this car!,4.75,"I love this car. It is a head turner for sure. The ride and feel are great. Very solid mechanically. Complaints, well I frequently flip the wipers on when I turn the ignition on, but maybe that's just big hands. I seem to fill up often, but that's a function of small tank and not poor mileage. Any negatives you find about this car a far offset by all the positives. The fold down hardtop is unbelievable. I've had passengers in who didn't realize it was a convertible. Buy this car, you will love it as much as I do. "
46,C70,2011,4.2, 07/05/2010,MST,T5 2dr Convertible (2.5L 5cyl Turbo 5A),1 of 1 people found this review helpful,Excellent car -- love it,5,"Just a joy to drive. Simple, zen like interior. Peppy fwd engine. Real head turner. "
47,C70,2011,4.2, 07/05/2010,Mike B,T5 2dr Convertible (2.5L 5cyl Turbo 5A),1 of 1 people found this review helpful,Fun Car and Great Value,5,I've had the C70 for a couple of weeks. Compared the C70 to the BMW 3 series. Glad I bought the C70. It's a fun car to drive and very stylish. All the complaints I've read in other reviews have been resolved with the 2011 model. It has plenty of power for my driving style and good passenger room. I have the convenience and climate packages. The car is a real head turner when parked at the local restaurant or gas station.  
48,C70,2011,4.2, 12/18/2015,D Miller,T5 2dr Convertible (2.5L 5cyl Turbo 5A),1 of 1 people found this review helpful,Safe and fun convertible,5,"automatic roll bars, 7yr/100000 mile full coverage (less maintenance) warranty, complete new front and rear brakes including rotors, low mileage "
49,C70,2011,4.2, 02/11/2016,ted churn,T5 2dr Convertible (2.5L 5cyl Turbo 5A),1 of 1 people found this review helpful,A Great Car,5,"This is a great running car. Not much room in the back seats when the front seats are pushed all the way back. Seats are some of the most comfortable ever. No complaints. Look forward to spring when ew can drive with the top down. Above all, it has the feel of a ""safe"" car.
02/11/17
Still a great car. Had to have rod extenders put on the back exile because back tires wear unevenly. Should remedy that issue. Expensive to maintain but then it's a volvo. "
